LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
238838,368499,TRUE,307,237,764
314968,472454,TRUE,306,351,946
123775,379830,FALSE,306,247,819
289494,534103,FALSE,307,238,601
188086,314602,TRUE,308,237,572
306000,679320,TRUE,309,644,1115
106090,208658,TRUE,307,237,582
165701,354488,FALSE,303,234,588
106090,214851,TRUE,299,234,597
156188,666806,FALSE,295,232,631
182016,449234,FALSE,292,232,640
132949,422950,TRUE,291,232,650
220470,330713,TRUE,286,485,1115
108209,268751,TRUE,285,234,660
295531,567655,TRUE,283,234,660
126248,276866,TRUE,277,234,631
294329,597729,FALSE,280,521,878
309170,604942,FALSE,287,276,597
277204,425833,TRUE,290,265,700
150301,404756,TRUE,289,318,-1
278418,641622,TRUE,286,232,764
289738,810411,TRUE,292,587,1016
108209,341255,TRUE,295,269,576
108209,283921,FALSE,295,234,626
295531,512269,TRUE,295,234,618
279166,541435,TRUE,306,651,1115
98392,236448,TRUE,309,234,617
255000,867000,TRUE,312,232,612
108209,270678,FALSE,312,268,-1
257641,855370,TRUE,311,234,611
147019,409180,TRUE,311,241,897
170387,577538,TRUE,311,232,598
106090,212196,TRUE,310,234,548
239668,587423,FALSE,309,414,899
284893,427067,TRUE,284,198,769
294329,648576,FALSE,286,167,405
262793,633798,TRUE,287,540,888
257641,556495,TRUE,287,350,591
149086,500074,TRUE,287,289,757
304841,630706,FALSE,288,209,414
271805,407709,TRUE,284,275,717
130340,378162,TRUE,283,141,-1
200962,556007,TRUE,281,379,787
304841,633630,FALSE,276,273,483
182450,473771,TRUE,271,220,764
132949,361790,TRUE,266,286,801
294455,441685,FALSE,261,266,-1
132949,339631,TRUE,260,266,693
214359,668546,TRUE,257,266,619
147725,414581,TRUE,272,265,-1
369240,553860,FALSE,274,518,717
304841,648281,FALSE,277,191,356
228978,429497,FALSE,276,149,357
304841,665656,TRUE,281,265,469
201210,301818,TRUE,282,260,587
215179,408306,FALSE,283,525,717
304841,651772,FALSE,247,163,359
208812,541533,TRUE,239,191,654
440000,660000,FALSE,238,212,415
130340,444031,TRUE,237,422,1009
304841,619144,FALSE,234,128,309
304841,640363,FALSE,231,128,311
294329,635962,TRUE,227,232,464
130340,173727,FALSE,225,384,1050
130340,112925,FALSE,223,479,1213
212354,369988,FALSE,220,280,-1
162496,446836,FALSE,220,192,546
236803,371335,TRUE,226,377,780
387600,581400,TRUE,229,325,801
304841,640647,TRUE,232,273,455
273305,630706,FALSE,237,167,332
304841,625450,TRUE,240,195,401
298864,569903,FALSE,244,126,240
293936,441186,TRUE,246,192,546
200962,529212,TRUE,250,189,541
510000,175440,FALSE,56,513,-1
382774,202323,TRUE,8,216,423
423112,608000,FALSE,52,793,1401
354986,461487,TRUE,58,357,1169
402144,600800,FALSE,33,822,1227
154081,278855,TRUE,35,367,-1
140565,335915,TRUE,35,233,696
179223,289343,TRUE,41,253,646
488191,1502000,FALSE,54,973,-1
346264,874140,FALSE,39,583,1025
348118,566926,FALSE,60,553,981
215830,802077,FALSE,68,470,-1
184385,387797,TRUE,51,276,1008
262793,358020,FALSE,47,672,995
180980,241347,TRUE,39,350,-1
326231,960000,FALSE,66,603,1378
221591,554001,TRUE,73,342,868
138610,235307,TRUE,55,358,1016
179579,265551,FALSE,56,181,1423
425990,196063,TRUE,42,234,659
557758,649044,FALSE,50,119,1163
41356,61824,TRUE,32,363,1310
25387,151960,TRUE,36,744,1275
216438,490111,TRUE,15,546,1248
362179,599171,TRUE,16,356,994
85368,375649,TRUE,26,472,1147
93821,56077,TRUE,28,623,1250
258526,66182,TRUE,27,723,-1
807807,275833,TRUE,35,457,883
334654,562221,FALSE,21,302,1099
203576,305368,TRUE,26,253,877
289665,441747,TRUE,59,297,659
158499,271383,TRUE,70,329,876
256255,611785,FALSE,62,199,-1
348025,422997,TRUE,55,365,709
259907,182046,FALSE,77,416,962
26080,133347,TRUE,75,385,829
21048,107075,TRUE,77,364,688
17309,167481,TRUE,85,119,-1
362179,777109,TRUE,83,385,869
39177,225220,TRUE,85,258,590
20786,216471,TRUE,85,338,615
404188,424065,FALSE,70,591,854
117233,240073,TRUE,83,357,1042
17309,142186,TRUE,79,247,619
16616,84940,TRUE,86,244,505
272957,701299,TRUE,77,206,720
123775,336965,TRUE,25,101,927
501981,373698,FALSE,23,364,1095
272957,409447,FALSE,53,706,1091
352085,752334,TRUE,17,365,-1
580862,1055474,TRUE,20,199,918
769643,812570,FALSE,19,269,1220
420470,1681885,FALSE,35,188,570
272272,589560,FALSE,65,637,1211
283129,641884,FALSE,47,281,759
10398,98145,TRUE,57,295,567
22625,181371,TRUE,55,289,-1
225000,550000,TRUE,62,261,1133
15231,123379,FALSE,63,427,1441
280500,298503,FALSE,58,346,-1
17309,157216,TRUE,60,429,-1
208955,490000,FALSE,59,923,1450
215890,517140,TRUE,57,800,1077
173270,426524,FALSE,66,293,-1
160397,46901,TRUE,63,339,1310
210235,262793,FALSE,61,227,401
231027,354632,TRUE,68,489,1042
125538,212448,TRUE,55,192,377
243267,453696,TRUE,81,465,972
13846,109814,TRUE,76,338,604
236718,305077,TRUE,75,157,-1
14781,88811,TRUE,78,266,626
16158,60286,FALSE,65,282,643
316253,201063,TRUE,69,350,659
259907,896368,TRUE,63,325,1151
231027,506890,TRUE,65,265,567
346545,763599,TRUE,79,401,990
184660,398166,TRUE,82,162,526
163604,319047,FALSE,84,146,605
