LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
116037,309431,FALSE,997,357,776
204000,494700,TRUE,1001,787,1101
63123,128960,FALSE,1009,377,776
205603,339941,TRUE,1001,290,602
63123,212432,FALSE,996,330,772
121342,254829,FALSE,985,316,888
63123,156914,TRUE,974,258,589
262793,394706,TRUE,959,300,695
206113,411195,FALSE,951,737,923
108326,180116,FALSE,935,274,630
63123,129860,TRUE,927,244,552
136472,361676,TRUE,914,217,503
63123,169544,TRUE,912,311,1316
180349,73389,FALSE,886,449,-1
42228,11938,FALSE,872,315,720
121342,293660,FALSE,862,293,742
240950,361426,TRUE,827,141,476
202932,628105,FALSE,827,517,874
175795,263988,FALSE,845,269,758
63123,161425,FALSE,860,265,554
203284,304648,TRUE,870,225,503
275832,413753,FALSE,884,287,1056
122698,179969,TRUE,896,199,521
63123,205996,TRUE,911,316,703
189139,441334,TRUE,911,197,371
109466,138662,FALSE,896,148,549
206113,411737,TRUE,874,584,888
110789,295495,TRUE,824,192,470
174055,261086,FALSE,812,189,412
160766,355037,TRUE,796,385,759
121347,245343,FALSE,756,223,603
223101,334654,TRUE,749,239,601
204000,561000,FALSE,742,517,1133
141988,417371,TRUE,719,308,1009
106248,221369,TRUE,718,219,533
309055,463755,FALSE,716,524,736
206113,453449,FALSE,717,653,874
206113,466331,TRUE,718,393,834
153020,348790,TRUE,742,504,879
136472,451764,TRUE,754,489,885
63123,48066,TRUE,778,678,1239
63123,178562,TRUE,796,212,692
63123,183973,FALSE,786,813,1044
110789,203124,TRUE,707,311,631
94684,236718,FALSE,694,114,346
63123,152406,FALSE,689,532,736
118870,253848,TRUE,667,184,539
133295,179126,TRUE,668,195,476
110789,221591,TRUE,675,377,702
118356,291925,FALSE,679,163,387
298422,447640,TRUE,689,163,386
118699,197045,FALSE,707,381,701
150123,324822,TRUE,717,370,654
198357,451387,FALSE,715,226,1177
118870,158499,TRUE,707,197,373
156188,346510,FALSE,698,420,876
206113,466345,TRUE,680,525,786
127659,204263,TRUE,685,279,581
183955,181707,FALSE,688,497,882
240093,360141,FALSE,703,197,391
219140,349989,FALSE,707,218,581
123102,252009,FALSE,709,430,741
150123,345296,TRUE,712,219,853
72139,70845,TRUE,738,344,1183
108653,197990,TRUE,745,295,811
141988,150154,TRUE,742,316,1518
225161,127602,FALSE,739,526,1518
112839,195390,FALSE,752,149,759
236488,375232,FALSE,780,223,580
118870,180693,TRUE,813,521,862
72139,156734,TRUE,826,297,616
130192,254473,FALSE,838,300,777
282374,423562,FALSE,853,349,801
108616,224490,FALSE,866,202,559
206113,468907,TRUE,876,232,771
81157,162690,FALSE,886,350,640
139204,306123,FALSE,899,381,680
232165,385526,FALSE,911,203,-1
72139,420471,FALSE,918,218,563
206113,453964,FALSE,936,525,772
198189,296722,TRUE,944,406,-1
217166,325752,TRUE,972,381,1056
118356,263395,TRUE,958,178,559
123102,324647,FALSE,936,371,765
239869,549188,TRUE,926,374,652
133793,245703,TRUE,924,370,1043
122275,174013,TRUE,903,384,867
118177,354618,FALSE,909,346,652
176378,264569,TRUE,905,381,727
72139,270252,TRUE,867,406,1140
120361,180552,TRUE,860,216,463
124969,204128,TRUE,801,357,734
168187,422531,FALSE,784,611,786
245413,368119,TRUE,773,163,400
228569,383533,TRUE,812,357,895
249350,404944,FALSE,827,358,-1
204000,459000,FALSE,845,618,885
206113,411711,TRUE,850,737,904
150000,270608,FALSE,862,281,1598
110789,257052,TRUE,905,136,568
150168,254131,FALSE,995,164,521
229664,353247,FALSE,967,253,770
124965,141300,TRUE,958,349,874
136472,320592,TRUE,943,232,630
94684,268198,TRUE,907,574,993
139244,208870,FALSE,901,161,610
210235,257641,FALSE,949,513,837
270580,405871,FALSE,954,118,423
184481,412226,FALSE,831,498,812
211265,396252,FALSE,822,210,786
5502,183024,FALSE,944,251,840
180864,422026,TRUE,964,160,440
171407,399956,FALSE,957,223,503
72139,148075,TRUE,948,170,479
105317,166901,TRUE,936,142,597
182274,144279,FALSE,943,633,1211
70338,67122,TRUE,958,630,1203
81157,139959,FALSE,960,192,403
84873,133502,FALSE,953,258,587
206113,474009,FALSE,950,737,915
247852,534573,TRUE,940,178,1002
238027,110383,TRUE,931,385,968
206113,420110,TRUE,931,612,843
195807,399813,FALSE,927,381,654
195214,292550,TRUE,923,373,726
255000,627300,TRUE,918,507,1212
135961,217548,TRUE,908,189,667
110946,253948,TRUE,910,160,602
120361,127889,FALSE,916,223,491
293000,440000,FALSE,924,265,612
206113,427684,TRUE,926,629,828
250920,376380,FALSE,933,394,792
185659,260543,TRUE,936,269,638
112115,178905,TRUE,943,171,428
136472,441334,FALSE,933,399,1170
115311,309180,TRUE,928,164,392
189441,284166,TRUE,920,587,1095
206113,393180,FALSE,923,381,658
105317,237924,TRUE,918,315,-1
112839,177542,TRUE,912,458,759
81157,135631,TRUE,897,381,651
144279,141187,FALSE,874,658,867
72139,208590,TRUE,864,191,387
70338,150775,FALSE,871,192,403
70338,147177,TRUE,878,319,742
72139,130219,TRUE,881,147,346
150000,57302,TRUE,883,386,-1
206113,402538,FALSE,888,525,765
122520,161731,TRUE,898,160,346
115549,243268,TRUE,899,251,674
70338,147177,FALSE,904,177,659
206113,410081,FALSE,910,525,758
102614,249904,FALSE,913,218,483
133478,172918,TRUE,919,486,1199
181946,272922,TRUE,950,223,505
185501,422531,TRUE,970,313,609
210273,315133,TRUE,962,223,483
120689,257007,FALSE,955,218,476
182510,273771,TRUE,944,232,512
221571,412226,TRUE,936,393,729
206113,447755,TRUE,936,653,881
110789,287772,TRUE,953,307,884
175580,340666,FALSE,960,386,1122
252469,378709,FALSE,963,223,500
139204,274242,TRUE,966,267,519
81157,154433,FALSE,971,266,591
121530,83833,TRUE,683,413,1445
139816,321840,TRUE,746,274,675
175538,334092,TRUE,764,274,675
326689,489519,FALSE,799,267,579
120361,233063,TRUE,820,225,574
292190,488808,TRUE,836,323,891
205056,579364,TRUE,854,324,771
200000,350499,FALSE,856,427,843
118177,249662,TRUE,862,287,815
241245,37099,FALSE,817,220,1506
206476,432838,TRUE,802,287,638
241770,472819,FALSE,809,203,610
247852,442640,TRUE,797,150,733
156188,366349,TRUE,811,344,843
140418,262648,TRUE,830,260,705
157676,432838,FALSE,849,611,793
130017,234039,TRUE,837,287,624
183955,386937,TRUE,873,562,885
130017,230573,TRUE,874,342,818
25484,115498,TRUE,884,581,1210
160766,482319,TRUE,897,274,743
144104,37371,TRUE,900,281,773
145612,387643,FALSE,879,405,726
175538,399835,TRUE,846,393,863
145959,461002,TRUE,827,274,742
328704,473030,TRUE,799,297,603
112839,250068,TRUE,734,260,734
204000,561000,FALSE,728,281,625
98048,147367,FALSE,696,202,547
206113,566811,FALSE,683,356,843
103780,86059,TRUE,677,153,1031
138614,254131,FALSE,736,216,668
79824,121343,FALSE,742,216,640
103780,122942,TRUE,720,147,350
133951,192607,FALSE,542,342,624
10600,77942,FALSE,906,811,1065
14805,23831,TRUE,906,428,1250
228882,324545,FALSE,912,168,1214
127659,225242,TRUE,844,300,833
118870,133137,FALSE,830,177,528
100602,225444,FALSE,816,365,751
103403,44298,TRUE,781,245,1182
104254,162808,TRUE,739,308,1056
224400,590478,TRUE,733,727,987
118177,266002,FALSE,717,456,1731
127463,267962,TRUE,733,335,610
250000,400000,FALSE,752,218,612
58865,459000,FALSE,793,414,1091
149962,224948,TRUE,807,324,626
59323,175652,TRUE,821,168,590
59323,121616,TRUE,848,287,996
111255,224698,TRUE,868,106,309
105317,262957,FALSE,866,248,630
120361,231710,FALSE,687,331,710
153864,346231,TRUE,698,178,439
278418,736927,FALSE,666,437,847
173394,259799,FALSE,629,167,436
282159,428391,FALSE,611,267,764
127733,231523,TRUE,593,393,890
144460,287234,TRUE,575,245,584
143700,265052,TRUE,549,346,765
216327,669669,FALSE,547,171,811
252282,324628,FALSE,561,279,727
120723,305440,TRUE,589,275,719
127733,242604,TRUE,607,363,1056
15136,197534,FALSE,801,153,756
273677,173330,TRUE,791,345,1232
289738,635334,TRUE,887,182,671
100970,183915,FALSE,862,297,1045
174349,269596,TRUE,898,216,871
226724,422531,FALSE,917,135,701
278252,524558,TRUE,898,727,966
299500,449500,FALSE,894,374,647
66986,121535,TRUE,887,224,631
110789,115014,TRUE,885,414,1232
105317,215798,TRUE,858,259,573
205603,379808,TRUE,842,469,1119
173795,212930,FALSE,825,134,1332
46760,109113,FALSE,796,273,784
331500,433500,FALSE,787,175,436
127599,148382,TRUE,779,294,1119
104100,177570,TRUE,776,392,1056
188279,191175,TRUE,774,337,1308
203021,304535,FALSE,809,232,615
71791,105710,TRUE,845,205,533
80445,110617,FALSE,865,394,776
300900,555900,FALSE,882,609,890
196329,305007,TRUE,881,254,581
139877,295826,FALSE,874,169,395
96084,138369,FALSE,867,331,1535
206398,104040,FALSE,854,560,1311
110789,154963,TRUE,837,216,561
122522,201572,TRUE,827,400,798
182392,304782,TRUE,843,191,436
187562,326898,TRUE,857,140,412
231851,347779,FALSE,868,353,1056
271039,406043,FALSE,879,584,828
